Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,TP,TR,TAST,TBLKS,TSTLS,T3PS,FG%,FT%,3P%,EF%,DRTG,ORTG,VORP,BPM,EFF,Win_Shares
Jerome Anderson,2,0,0,0,0,0,0,0,0,0,49,2.6,0.5,0.3,0.1,0.2,-,127,25,16,5,9,-,49.0,69.4,-,-,103,,-0.2,-4.5,11.4,0.4
Justin Anderson,2,1,0,0,0,0,0,0,0,0,183,5.7,2.7,0.7,0.3,0.4,0.6,1034,492,129,58,82,118,42.5,79.0,29.5,49.3,107,106,0.3,-1.5,13.4,4.6
Kenny Anderson,1,0,0,1,0,0,0,0,0,0,858,12.6,3.1,6.1,0.1,1.5,0.6,10789,2641,5196,111,1258,547,42.1,79.0,34.6,44.9,106,108,18.0,0.8,16.4,62.5
Kim Anderson,3,0,0,0,0,0,0,0,0,0,21,3.0,2.1,0.7,0.2,0.2,-,63,45,15,5,4,-,31.2,53.6,-,-,105,75,-0.4,-8.3,3.0,-0.4
Kyle Anderson,3,1,0,0,0,0,0,0,0,0,290,5.2,3.9,1.9,0.5,1.0,0.2,1499,1122,539,148,283,55,48.5,72.1,32.7,50.8,101,109,6.0,2.2,13.6,15.0
Michael Anderson,1,0,0,0,0,0,0,0,0,0,36,5.7,2.5,4.3,0.1,1.2,0.0,204,89,153,3,44,1,41.7,69.5,14.3,42.0,109,93,-0.3,-3.4,10.5,0.2
Nick Anderson,2,0,0,0,0,0,0,0,0,0,800,14.4,5.1,2.6,0.5,1.4,1.3,11529,4064,2087,364,1114,1055,44.6,66.7,35.6,50.0,106,107,23.5,1.7,15.8,55.3
Richard Anderson,4,0,0,0,0,0,0,0,0,0,407,5.6,3.5,1.5,0.2,0.6,0.4,2260,1418,611,94,225,148,41.2,76.2,33.3,44.6,108,102,1.2,-1.2,12.3,7.6
Ron Anderson,3,0,0,0,0,0,0,0,0,0,664,10.6,3.5,1.4,0.1,0.7,0.2,7056,2312,952,90,470,105,47.1,81.4,28.7,47.9,111,107,1.1,-1.7,14.3,24.2
Ryan Anderson,4,1,0,0,0,0,0,0,0,0,637,12.5,5.3,0.9,0.3,0.5,2.1,7989,3397,582,217,330,1322,42.2,85.4,38.0,52.4,109,115,11.1,0.6,16.5,46.8
Shandon Anderson,3,0,0,0,0,0,0,0,0,0,719,7.4,3.1,1.4,0.3,0.8,0.4,5327,2252,1007,180,556,307,45.7,73.9,31.6,49.2,105,101,4.9,-0.8,11.7,23.6
Willie Anderson,3,0,0,0,0,0,0,0,0,0,555,12.2,3.8,3.8,0.6,1.1,0.2,6771,2082,2105,342,594,99,47.1,78.6,26.6,47.9,107,104,8.3,0.0,13.8,27.9
Wally Anderzunas,3,0,0,0,0,0,0,0,0,0,44,3.6,1.9,0.2,-,-,-,159,82,9,-,-,-,39.2,63.0,-,-,-,-,-,-,8.8,-0.2
Martynas Andriuskevicius,5,0,0,0,0,0,0,0,0,0,6,0.0,0.7,0.0,0.0,0.3,0.0,0,4,0,0,2,0,0.0,-,-,0.0,78,64,0.0,0.1,15.5,0.0
Don Anielak,4,0,0,0,0,0,0,0,0,0,1,3.0,2.0,0.0,-,-,-,3,2,0,-,-,-,0.0,75.0,-,-,-,-,-,-,1.8,-0.1
Ike Anigbogu,5,1,0,0,0,0,0,0,0,0,14,0.9,0.9,0.1,0.3,0.1,0.0,13,12,1,4,1,0,33.3,83.3,-,33.3,102,95,0.0,-6.7,17.0,0.0
Michael Ansley,3,0,0,0,0,0,0,0,0,0,149,6.9,4.2,0.4,0.2,0.3,0.0,1026,621,67,24,51,0,51.3,72.2,-,51.3,113,122,0.5,-1.1,17.0,6.4
Chris Anstey,5,0,0,0,0,0,0,0,0,0,155,5.2,3.4,0.8,0.4,0.5,0.0,813,534,127,65,78,4,41.3,75.5,13.8,41.6,103,96,-0.4,-2.8,13.2,2.8
Giannis Antetokounmpo,1,1,0,2,2,1,0,0,0,0,424,17.8,7.9,4.0,1.3,1.2,0.4,7568,3343,1679,560,508,177,51.4,74.0,26.7,53.0,105,112,20.2,3.7,20.9,44.4
Thanasis Antetokounmpo,3,0,0,0,0,0,0,0,0,0,2,3.0,0.5,0.0,0.0,0.0,0.0,6,1,0,0,0,0,75.0,-,0.0,75.0,110,140,0.0,-4.1,32.9,0.0
Carmelo Anthony,3,1,0,10,6,0,1,0,0,0,1064,24.0,6.5,3.0,0.5,1.0,1.3,25551,6938,3165,527,1081,1362,44.9,81.1,34.7,48.2,108,108,28.0,0.9,20.3,101.0
Greg Anthony,1,0,0,0,0,0,0,0,0,0,757,7.3,1.9,4.0,0.1,1.2,0.8,5497,1417,2997,79,887,610,40.3,73.3,34.9,46.7,104,106,8.1,0.0,14.5,35.9
Joel Anthony,5,0,0,0,0,0,0,0,0,0,490,2.2,2.8,0.2,1.1,0.3,0.0,1064,1353,99,531,127,0,51.3,66.2,-,51.3,103,112,3.8,0.1,9.7,15.3
Pero Antic,5,0,0,0,0,0,0,0,0,0,113,6.3,3.5,0.9,0.2,0.3,1.0,708,398,107,26,37,108,39.2,73.0,31.4,48.3,107,103,0.0,-2.1,10.6,3.0
OG Anunoby,3,1,0,0,0,0,0,0,0,0,104,6.5,2.7,0.7,0.2,0.7,1.0,675,277,73,23,72,109,46.1,53.5,35.4,55.8,108,109,1.0,-0.1,10.0,3.7
Keith Appling,1,0,0,0,0,0,0,0,0,0,5,1.2,0.2,0.2,0.0,0.2,0.0,6,1,1,0,1,0,25.0,100.0,0.0,25.0,110,57,-0.1,-13.0,-4.8,-0.1
Rafael Araujo,5,0,0,0,0,0,0,0,0,0,139,2.8,2.8,0.3,0.1,0.4,0.0,389,395,41,16,51,1,40.5,67.9,25.0,40.6,108,87,-1.8,-6.4,6.3,-0.4
Stacey Arceneaux,4,0,0,0,0,0,0,0,0,0,7,7.1,4.6,0.6,-,-,-,50,32,4,-,-,-,39.3,46.2,-,-,-,-,-,-,10.4,-0.1
Robert Archibald,4,0,0,0,0,0,0,0,0,0,44,1.2,1.6,0.4,0.1,0.3,0.0,51,69,16,6,14,0,28.3,42.9,-,28.3,101,78,-0.2,-5.0,4.9,0.0
Tiny Archibald,1,0,1,6,5,0,1,1,0,0,876,18.8,2.3,7.4,0.1,1.1,0.1,16481,2046,6476,81,719,19,46.7,81.0,22.4,46.8,105,109,9.5,-0.2,18.0,83.4
Ryan Arcidiacono,1,1,0,0,0,0,0,0,0,0,58,4.9,2.0,2.9,0.0,0.8,1.0,286,116,166,1,49,58,44.6,83.3,37.9,57.7,113,118,0.2,-1.5,10.1,2.1
Jim Ard,5,0,0,0,0,0,0,0,0,0,431,4.4,4.3,0.6,0.5,0.2,0.0,1909,1832,278,121,59,4,40.2,66.2,23.5,40.3,97,93,-1.9,-4.4,10.6,4.0
Gilbert Arenas,1,0,0,3,3,0,0,0,0,0,552,20.7,3.9,5.3,0.2,1.6,2.0,11402,2168,2909,134,884,1079,42.1,80.3,35.1,48.2,109,109,24.1,2.9,19.6,51.3
Trevor Ariza,2,1,0,0,0,0,0,0,0,0,973,10.5,4.8,2.1,0.3,1.5,1.4,10257,4688,2058,303,1478,1376,42.3,72.6,35.3,50.2,105,106,25.8,1.5,13.3,58.3
Paul Arizin,3,0,1,10,4,0,2,0,0,0,713,22.8,8.6,2.3,-,-,-,16266,6129,1665,-,-,-,42.1,81.0,-,-,-,-,-,-,19.7,108.8
Joe Arlauckas,3,0,0,0,0,0,0,0,0,0,9,3.8,1.4,0.9,0.4,0.3,0.0,34,13,8,4,3,0,32.6,75.0,-,32.6,112,88,-0.1,-6.5,7.9,-0.1
B.J. Armstrong,1,0,0,1,0,0,0,0,0,0,747,9.8,1.8,3.3,0.1,0.7,0.6,7320,1321,2479,47,533,436,47.7,85.6,42.5,51.3,110,115,1.9,-1.6,14.5,45.0
Bob Armstrong,5,0,0,0,0,0,0,0,0,0,19,1.5,2.1,0.2,-,-,-,28,39,3,-,-,-,29.7,50.0,-,-,-,-,-,-,7.8,-0.1
