EFF,PPG,TRPG,APG,BPG,SPG,FG%,FT%,EF%,DRTG,ORTG,VORP,BPM
14.7,5.7,1.8,2.2,0.1,0.9,43.4,84.8,52.4,104,112,9.8,0.8
21,24.8,6.7,4.9,0.5,2,45.6,89.3,46,99,105,25.8,3.2
14.9,10.5,3.9,2.3,0.4,0.7,43.5,79.1,49.2,110,107,3.6,-0.4
10.3,2.1,1.5,0.4,0.1,0.5,40.5,80,41.9,99,92,0,-1.4
15.3,8.7,4.5,0.8,0.6,0.4,49.9,83.2,50,106,111,3.7,-1.1
10.2,6.2,6.7,1.2,0.5,0.8,42.3,58.8,42.4,102,98,1.2,-1.6
14.4,2.7,1.7,0.2,0.4,0.2,61.6,74,62.5,105,115,0.1,-1.3
6.4,3.4,2.5,0.6,0.1,0.2,39.1,74.4,40.7,107,88,-0.5,-5.9
18.1,11.7,1.7,1.9,0.1,0.8,47.4,79.6,48.3,108,105,0.2,-1.8
7.9,1.7,2.5,0.2,0.2,0.3,43.8,61.7,43.8,108,94,-0.6,-6.3
12.2,6.4,3.4,0.7,0.2,0.6,42.2,78.4,44.1,107,96,-0.6,-3.9
12.6,6.1,5.1,0.6,0.9,0.5,48.8,69,49,103,106,1.9,-1.6
12.6,8.6,4.2,1.8,0.9,1,43.7,74.3,52.9,105,115,37,2.9
13.7,8.7,1.3,2.1,0.1,0.4,46.4,79.3,47.1,112,108,-3.3,-3.2
12.5,4.7,2.4,0.8,0.2,0.7,50.4,72.5,50.8,109,112,0.9,-0.1
10.2,3.2,2.1,0.6,0.3,0.3,44.8,47.1,44.8,101,93,-0.2,-3
11.3,10.3,3.4,1.8,0.1,1.3,36.6,61.7,39.7,107,89,-0.3,-2.8
15.1,11.9,5.3,3.8,0.6,0.9,43.5,83.9,51.7,107,110,25.7,2.4
13.8,6.1,2.7,0.6,0.3,0.6,48,75.8,48,109,104,-0.1,-2.5
11.6,3.9,2.9,0.2,0.4,0.2,46.6,65.7,46.7,103,99,-1.5,-5.1
12.4,8.5,2.1,2.8,0.1,0.6,41.4,82.4,47.4,109,104,0.5,-1.8
14.1,5.4,4.4,0.7,0.5,0.2,49.9,80.6,50.4,104,110,1,-1.4
13.6,3,0.7,1.4,0.1,0.1,50,77.8,52.3,109,109,-0.1,-4.9
12.5,8.7,3,1.9,0.5,1,42.5,72.4,49.5,105,98,3.2,-0.6
16.5,19.1,3.8,3.5,0.4,1.1,44.8,79.3,51.6,109,108,9.9,0.6
19.6,13.7,8.4,1.2,0.2,0.2,49.1,83.1,49.9,106,105,-0.1,-3.1
11.2,4.8,1.5,0.7,0.1,0.4,43.6,74.1,52.2,112,107,-0.4,-3.2
15.6,12.5,4.7,1.3,0.5,0.6,46.4,76.1,48.7,108,100,-4.3,-3.2
18.7,17.1,10.9,1.5,0.8,0.7,49.4,77.1,49.4,102,115,1.7,-0.1
14.5,7.1,1.9,2.1,0.3,0.7,43.9,81,49.6,105,101,1.4,-0.1
16.3,11.5,7,1.3,0.1,0.6,50.5,81.1,50.5,104,113,1.9,-0.7
9.1,2.7,1.4,1.4,0.1,0.5,45.1,68.4,45.9,105,92,-0.3,-3.4
9.7,4.1,2.4,0.5,0.5,0.2,41.6,60.5,41.9,106,92,-2,-5.1
14.2,10.3,7,1.6,0.4,0.7,42.5,75.4,42.5,98,95,0.9,-1.6
