Name,Pos,Active,HoF,All_Star,All_Nba,All_Def,Score_Champ,Assit_Champ,Trb_Champ,MVP,GP,PPG,TRPG,APG,BPG,SPG,3PG,FG%,FT%,3P%,EF%,EFF,Win_Shares
Furkan Aldemir,4,0,0,0,0,0,0,0,0,0,41,2.3,4.3,0.7,0.4,0.4,0.0,51.3,48.1,0.0,51.3,12.0,1.4
Cole Aldrich,5,0,0,0,0,0,0,0,0,0,339,3.1,3.3,0.5,0.7,0.4,0.0,52.7,73.8,-,52.7,16.6,9.6
LaMarcus Aldridge,5,1,0,6,5,0,0,0,0,0,897,19.4,8.4,1.9,1.1,0.7,0.1,48.8,80.7,28.2,49.2,20.6,99.1
Chuck Aleksinas,5,0,0,0,0,0,0,0,0,0,74,5.1,3.6,0.5,0.2,0.2,0.0,47.8,73.3,0.0,47.8,9.1,0.4
Cliff Alexander,4,0,0,0,0,0,0,0,0,0,8,1.3,0.8,0.0,0.3,0.1,0.0,50.0,-,-,50.0,11.6,0.0
Cory Alexander,1,0,0,0,0,0,0,0,0,0,307,5.5,1.6,2.7,0.1,0.9,0.8,38.9,75.6,35.4,46.8,12.4,3.0
Courtney Alexander,2,0,0,0,0,0,0,0,0,0,187,9.0,2.2,1.2,0.1,0.6,0.2,42.2,81.3,33.9,43.5,11.5,4.1
Gary Alexander,4,0,0,0,0,0,0,0,0,0,11,1.7,1.4,0.2,0.0,0.3,0.0,57.1,33.3,-,57.1,8.6,0.0
Joe Alexander,3,0,0,0,0,0,0,0,0,0,67,4.2,1.8,0.7,0.4,0.2,0.2,41.0,69.8,34.0,44.2,9.9,0.5
Victor Alexander,5,0,0,0,0,0,0,0,0,0,286,8.9,4.8,0.9,0.6,0.5,0.1,51.8,63.4,28.6,52.2,13.7,8.8
Steve Alford,1,0,0,0,0,0,0,0,0,0,169,4.4,0.9,1.0,0.1,0.5,0.2,45.9,87.0,32.4,48.7,14.4,3.2
Bill Allen,5,0,0,0,0,0,0,0,0,0,38,7.9,7.1,0.6,-,-,0.1,42.9,58.6,100.0,43.2,11.9,0.6
Bob Allen,4,0,0,0,0,0,0,0,0,0,27,1.8,2.1,0.4,-,-,-,32.6,55.6,-,-,6.8,0.1
Grayson Allen,2,1,0,0,0,0,0,0,0,0,17,4.1,0.3,0.4,0.0,0.1,0.6,32.3,72.0,26.8,41.1,3.9,-0.2
Jarrett Allen,5,1,0,0,0,0,0,0,0,0,99,9.3,6.2,0.9,1.3,0.4,0.1,58.9,75.4,22.2,59.6,18.3,7.0
Jerome Allen,2,0,0,0,0,0,0,0,0,0,117,2.9,1.1,1.7,0.1,0.4,0.3,35.0,63.0,31.7,41.1,8.5,0.2
Kadeem Allen,1,0,0,0,0,0,0,0,0,0,18,1.1,0.6,0.7,0.1,0.2,0.0,27.3,77.8,0.0,27.3,2.6,-0.1
Lavoy Allen,4,0,0,0,0,0,0,0,0,0,388,4.8,4.8,1.0,0.6,0.3,0.0,47.1,68.2,13.3,47.2,12.5,13.8
Lucius Allen,1,0,0,0,0,0,0,0,0,0,702,13.4,3.1,4.5,0.3,1.5,-,46.3,76.0,-,-,15.5,42.0
Malik Allen,4,0,0,0,0,0,0,0,0,0,478,4.9,2.8,0.5,0.5,0.3,0.0,43.9,77.8,18.8,44.0,9.9,6.6
Randy Allen,2,0,0,0,0,0,0,0,0,0,70,3.6,2.1,0.3,0.3,0.2,0.0,44.2,53.3,0.0,44.2,8.3,0.2
Ray Allen,2,0,1,10,2,0,0,0,0,0,1300,18.9,4.1,3.4,0.2,1.1,2.3,45.2,89.4,40.0,53.0,18.6,145.1
Tony Allen,2,0,0,0,0,6,0,0,0,0,820,8.1,3.5,1.3,0.4,1.4,0.2,47.5,70.9,28.2,48.7,14.2,38.7
Willie Allen,4,0,0,0,0,0,0,0,0,0,7,1.9,2.0,0.6,,-,0.0,30.8,83.3,-,30.8,5.7,0.0
Odis Allison,3,0,0,0,0,0,0,0,0,0,36,1.9,1.3,0.3,-,-,-,21.8,54.1,-,-,4.7,-0.6
Lance Allred,5,0,0,0,0,0,0,0,0,0,3,1.0,0.3,0.0,0.0,0.0,0.0,25.0,50.0,-,25.0,-1.0,0.0
Darrell Allums,4,0,0,0,0,0,0,0,0,0,22,2.7,3.0,1.1,0.4,0.2,0.0,34.3,59.1,0.0,34.3,5.3,-0.3
Morris Almond,2,0,0,0,0,0,0,0,0,0,38,3.1,1.2,0.3,0.1,0.3,0.2,38.1,74.3,29.2,41.2,7.0,0.0
Derrick Alston,5,0,0,0,0,0,0,0,0,0,139,5.4,3.8,0.7,0.6,0.7,0.0,48.9,48.7,14.3,49.0,11.7,2.6
Rafer Alston,1,0,0,0,0,0,0,0,0,0,671,10.1,2.8,4.8,0.2,1.2,1.5,38.3,72.9,35.4,46.1,13.2,32.9
Peter Aluma,5,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,0.5,0.5,0.0,50.0,-,-,50.0,3.1,0.0
John Amaechi,5,0,0,0,0,0,0,0,0,0,294,6.2,2.6,0.8,0.3,0.3,0.0,40.3,67.1,7.7,40.3,8.9,0.5
